title, description, link, pubDate
"Tonga records first coronavirus case since start of pandemic", "The island nation was one of the last countries in the world not to have reported any infections.", "https://www.bbc.co.uk/news/world-asia-59101584?at_medium=RSS&amp;at_campaign=KARANGA", "Sat, 30 Oct 2021 09:42:55 GMT"
"‘As a child I saw the plane crash that killed my sisters'", "Harriet was waving her sisters off when the plane left the runway and burned. Now she's finding others linked to the tragedy.", "https://www.bbc.co.uk/news/stories-59064579?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 01:26:09 GMT"
"How the Taliban takeover changed my life", "From office workers to students, Afghans share how their lives have changed since August.", "https://www.bbc.co.uk/news/world-asia-59029517?at_medium=RSS&amp;at_campaign=KARANGA", "Sat, 30 Oct 2021 23:51:56 GMT"
"The white student braving racial politics in South Africa", "Jess Griesel faces a backlash for joining a party that backs the interests of poor black South Africans.", "https://www.bbc.co.uk/news/world-africa-59085675?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 00:52:13 GMT"
"T20 World Cup: The toxic trolling of India's cricket stars", "As online abuse becomes the main form of venting, many worry about the toxicity cricketers face on social media.", "https://www.bbc.co.uk/news/world-asia-india-59059493?at_medium=RSS&amp;at_campaign=KARANGA", "Sat, 30 Oct 2021 00:37:20 GMT"
"Marshall 'Major' Taylor: The first black American world champion & his fight to the top", "Marshall 'Major' Taylor was the first black American to become a world champion, in 1899. This is his largely forgotten story.", "https://www.bbc.co.uk/sport/cycling/59063160?at_medium=RSS&amp;at_campaign=KARANGA", "Thu, 28 Oct 2021 23:01:28 GMT"
"Week in pictures: 23 - 29 October 2021", "A selection of powerful images from all over the globe, taken this week.", "https://www.bbc.co.uk/news/in-pictures-59077933?at_medium=RSS&amp;at_campaign=KARANGA", "Fri, 29 Oct 2021 23:04:29 GMT"
"The 17-year-old making films fun for deaf children", "Mariella, 17, made an app during lockdown that's helping some kids enjoy films for the first time.", "https://www.bbc.co.uk/news/newsbeat-58972808?at_medium=RSS&amp;at_campaign=KARANGA", "Fri, 29 Oct 2021 23:56:11 GMT"
"Inside the controversial US gunshot-detection firm", "BBC News has been given access to ShotSpotter, the controversial US technology company that detects gunshots.", "https://www.bbc.co.uk/news/technology-59072745?at_medium=RSS&amp;at_campaign=KARANGA", "Fri, 29 Oct 2021 01:45:43 GMT"
"Greta Thunberg: It's never too late to do as much as we can", "Activist Greta Thunberg is still hopeful the world can achieve "massive changes" to combat climate change.", "https://www.bbc.co.uk/news/science-environment-59110260?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 10:41:21 GMT"
"Japan undersea volcano: Artist tries to swim in floating pumice stone", "An eruption from an undersea volcano has coated the coastal waters off a Japanese island in pumice.", "https://www.bbc.co.uk/news/world-asia-59101411?at_medium=RSS&amp;at_campaign=KARANGA", "Sat, 30 Oct 2021 14:52:57 GMT"
"The women reviving a vanishing legacy of Sufi music in Kashmir", "This six-piece band has overcome a lot of opposition to be able to play Islamic devotional music.", "https://www.bbc.co.uk/news/world-asia-59093226?at_medium=RSS&amp;at_campaign=KARANGA", "Sat, 30 Oct 2021 23:01:04 GMT"
"La Palma: Living with lava", "Residents on the Spanish island share how Cumbre Vieja's eruption has changed their lives.", "https://www.bbc.co.uk/news/world-europe-59098425?at_medium=RSS&amp;at_campaign=KARANGA", "Fri, 29 Oct 2021 23:01:55 GMT"
"The viral basketball star changing views on Muslim women in sport", "Viral basketball sensation Jamad Fiin's videos have racked up millions of views online.", "https://www.bbc.co.uk/news/world-us-canada-59090127?at_medium=RSS&amp;at_campaign=KARANGA", "Fri, 29 Oct 2021 23:03:56 GMT"
"Can COP26 really save the planet?", "Past COPs our science editor went to didn't stop climate change - will this one be any different?", "https://www.bbc.co.uk/news/science-environment-59078198?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 00:23:50 GMT"
"Climate change: What's it like living in a place where it's 50C?", "The BBC has spoken to people around the world about how extreme heat is changing their lives.", "https://www.bbc.co.uk/news/science-environment-59051407?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 00:13:02 GMT"
"COP26: What effect does methane have on climate change? And more questions", "BBC science correspondent Matt McGrath answers your questions about Glasgow's COP26 climate summit.", "https://www.bbc.co.uk/news/science-environment-58925049?at_medium=RSS&amp;at_campaign=KARANGA", "Fri, 29 Oct 2021 14:32:28 GMT"
"COP26: How Glasgow is hosting world leaders", "About 120 world leaders from US President Joe Biden to the prime minister of Andorra will be in Glasgow for COP26.", "https://www.bbc.co.uk/news/uk-scotland-58669173?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 08:54:58 GMT"
"What is climate change? A really simple guide", "World temperatures are rising because of human activity, and climate change now threatens every aspect of human life.", "https://www.bbc.co.uk/news/science-environment-24021772?at_medium=RSS&amp;at_campaign=KARANGA", "Wed, 13 Oct 2021 12:50:38 GMT"
"COP26: African climate activists' message to world leaders", "Young climate activists from Africa share their message to world leaders at COP26.", "https://www.bbc.co.uk/news/world-africa-59076452?at_medium=RSS&amp;at_campaign=KARANGA", "Fri, 29 Oct 2021 23:03:26 GMT"
